CLIENT CODE,UNIT,Alameda,BODEGA,FRENTE,FONDO,TAMANO,NIVEL,TIPO,DESCRIPCION,RR M2,min,branch_name
1001949683,E004,4.472698086203945,E004,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,335.7,0.4326914974048748,Mexico Tacuba
1001949689,F027,7.593394768067687,F027,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,343.56,1.1977228535476976,Revolucion
1001949707,E031,4.5198499389295606,E031,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,466.71,0.7975324958175837,Tepeyac
1001949713,E077,0.5769920757887997,E077,2.0,1.0,2.0,PLANTA BAJA,Bodega Abajo,C,314.04,2.9179683070924463,Roma
1001949730,F075,0.2226421573480669,F075,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,378.17,2.818155119249476,Anzures Polanco
1001949739,E079,2.772746363552086,E079,2.0,1.0,2.0,PLANTA BAJA,Bodega Abajo,C,377.54,0.3989772736897405,Anzures Polanco
1001949742,G002,2.1488049674519605,G002,0.9,0.6,0.5,PLANTA BAJA,LOCKER ARRIBA,A,315.0,1.658800537282985,Anzures Polanco
1002287516,E089,11.614218159891587,E089,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,379.76,0.9517234198385596,Universidad
1002443136,E034,6.178052771040161,E034,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,406.47,0.5618746448951174,Periferico
1002443136,E093,6.178052771040161,E093,1.5,1.5,2.3,PLANTA BAJA,Bodega Abajo,C,378.7,0.5618746448951174,Periferico
1002492456,E069,3.8784489240842377,E069,0.9,0.9,0.8,PLANTA BAJA,Bodega Abajo,C,536.85,1.964008517689172,Roma
1002527626,E029,11.615680372645448,E029,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,B,436.01,1.560425850146152,Vasco de Quiroga
1002571822,E088,1.89158640846802,E088,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,637.27,1.8216642719182088,Anzures Polanco
1002571822,E087,1.89158640846802,E087,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,637.27,1.8216642719182088,Anzures Polanco
1002627571,F078,4.380151933249789,F078,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,310.77,0.9911297952271504,Roma
1002799092,E024,2218.4666526453266,E024,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,291.35,2036.8214424201783,Queretaro
1002837950,G010,9.510718169226957,G010,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,805.32,2.408842540118425,Del Valle
1003053123,F029,585.1329794466352,F029,1.5,1.5,2.3,PLANTA BAJA,Bodega Arriba,B,268.83,406.15278847145737,Queretaro
1003064985,G004,7.649974429242065,G004,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,521.73,1.5698931537492289,San Antonio
1003080678,F002,0.6986461009258582,F002,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,370.98,2.708110116518987,Roma
1003087044,F007,0.2226421573480669,F007,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,412.21,2.818155119249476,Anzures Polanco
1003114100,F036,0.9474201312098536,F036,1.5,3.0,4.5,PLANTA BAJA,Bodega Arriba,B,355.9,2.09691946288083,Anzures Polanco
1003190472,F083,0.5792322648714162,F083,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,382.13,2.4815884490987945,Anzures Polanco
1003190644,E057,1.719097629916773,E057,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,356.16,1.9478726906951005,Anzures Polanco
1003262427,E092,357.2855121498819,E092,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,428.3,184.7933028036921,Queretaro
1003262427,E091,357.2855121498819,E091,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,396.26,184.7933028036921,Queretaro
1003301568,E020,6.346549884095007,E020,1.5,2.8,4.2,PLANTA BAJA,Down/In,B,382.56,0.9339495302672648,Periferico
1003301568,E011,6.346549884095007,E011,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,377.16,0.9339495302672648,Periferico
1003318261,F084,2.14864003925457,F084,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,382.13,1.3553831325261614,Anzures Polanco
1003401401,G019,6649.316859892059,G019,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,522.65,6425.20976180371,Acapulco
1003411330,G023,1.1082280473732586,G023,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,479.38,3.926691744509134,Roma
1003416225,F070,0.8837994989275455,F070,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,360.81,2.195525151152533,Anzures Polanco
1003436761,E058,12.482587373181012,E058,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,376.58,7.169013390308761,Churubusco
1003470353,F085,7.974260131822486,F085,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,397.01,3.3874049376500124,Lindavista
1003478492,E060,1.6631569551798249,E060,2.8,1.5,4.2,PLANTA BAJA,Bodega Abajo,B,382.56,1.8866997698095247,Anzures Polanco
1003524040,E007,3.059758356107137,E007,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,464.38,1.1267247386977663,Anzures Polanco
1003524040,E068,3.059758356107137,E068,2.8,1.5,4.2,PLANTA BAJA,Bodega Abajo,B,377.16,1.1267247386977663,Anzures Polanco
1003579193,E015,7.198243834481912,E015,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,A,377.16,2.535264189572106,Tepeyac
1003670385,E027,2.4279024023290896,E027,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,335.1,0.9198835237670848,Anzures Polanco
1003695419,E042,0.1139026104997453,E042,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,354.14,2.929793335035217,Anzures Polanco
1003729714,E014,1.1013435560925822,E014,3.0,1.5,4.5,PLANTA BAJA,Down/In,A,384.21,3.6273473841810353,Roma
1003769752,G020,26.579804577007614,G020,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,533.63,20.615484890283675,Churubusco
1003902876,E055,3.4988938538699688,E055,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,387.94,1.2153174196575982,Anzures Polanco
1003918613,F033,3.7910505671973183,F033,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,288.45,2.882974943665332,Tepeyac
1003994721,F071,1.5792405404687342,F071,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,314.17,1.9226828404173169,Anzures Polanco
1003994721,F073,1.5792405404687342,F073,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,314.17,1.9226828404173169,Anzures Polanco
1003994721,F072,1.5792405404687342,F072,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,314.17,1.9226828404173169,Anzures Polanco
1003994721,E064,1.5792405404687342,E064,2.1,2.5,5.3,PLANTA BAJA,Bodega Abajo,B,319.16,1.9226828404173169,Anzures Polanco
1004046339,G015,19.41761259894445,G015,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,472.34,9.626839101800265,Gustavo Baz
1004066461,F028,16.93515398500116,F028,1.5,1.5,2.3,PLANTA BAJA,Bodega Arriba,B,364.18,6.8966073633201335,Tlalpan Coapa
1004087848,F003,2.459399606480133,F003,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,313.0,1.0652655756717555,Roma
1004118058,F016,1.607583348458111,F016,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,277.46,1.89642517648917,Roma
1004195979,F041,2.0015156212293004,F041,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,308.28,2.953440752440266,Circuito
1004195979,F040,2.0015156212293004,F040,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,269.59,2.953440752440266,Circuito
1004269641,E017,0.8571836276237378,E017,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,A,459.03,3.528106791350827,Roma
1004281968,E065,4.268468209536298,E065,2.1,2.5,5.3,PLANTA BAJA,Bodega Abajo,B,313.18,1.2801463340986263,Roma
1004281968,F061,4.268468209536298,F061,2.1,2.5,5.3,PLANTA BAJA,Bodega Arriba,B,309.25,1.2801463340986263,Roma
1004356384,F017,9.612838474311015,F017,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,315.03,2.3881003902983022,Lindavista
1004357767,F050,0.7971302290991406,F050,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,277.46,3.193369102547953,Roma
1004392827,G009,9.341998369000285,G009,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,517.43,1.7905923743111996,Del Valle
1004406964,E074,2.0223685811315644,E074,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,420.98,1.6565707075954903,Anzures Polanco
1004409987,E061,3.1512791900301056,E061,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,272.57,1.6509488149742717,Anzures Polanco
1004409987,E067,3.1512791900301056,E067,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,B,320.18,1.6509488149742717,Anzures Polanco
1004409987,E038,3.1512791900301056,E038,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,320.18,1.6509488149742717,Anzures Polanco
1004409987,E048,3.1512791900301056,E048,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,431.01,1.6509488149742717,Anzures Polanco
1004409987,E037,3.1512791900301056,E037,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,284.47,1.6509488149742717,Anzures Polanco
1004409987,F060,3.1512791900301056,F060,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,262.3,1.6509488149742717,Anzures Polanco
1004409987,F044,3.1512791900301056,F044,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,280.9,1.6509488149742717,Anzures Polanco
1004409987,F043,3.1512791900301056,F043,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,280.9,1.6509488149742717,Anzures Polanco
1004455914,E084,2.1482424687838795,E084,1.4,1.5,2.1,PLANTA BAJA,Bodega Abajo,C,401.48,2.8386716392249056,Roma
1004455914,E021,2.1482424687838795,E021,1.5,2.8,4.2,PLANTA BAJA,Down/In,B,406.81,2.8386716392249056,Roma
1004462600,E078,1.0184628035484176,E078,2.0,1.0,2.0,PLANTA BAJA,Bodega Abajo,C,412.82,3.909917544589189,Roma
1004518945,F059,1.5585967517988697,F059,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,293.6,2.00012484749109,Circuito
1004623488,F063,4.089045515046778,F063,2.0,1.6,3.2,PLANTA BAJA,Bodega Arriba,B,308.15,2.566455710366793,Roma
1004629957,F005,0.2226421573480669,F005,2.0,1.0,2.0,PLANTA BAJA,LOCKER ARRIBA,A,337.2,2.818155119249476,Anzures Polanco
1004632367,F018,5.240002750155191,F018,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,272.72,1.582178605495535,Tlalpan 949
1004632367,F022,5.240002750155191,F022,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,338.52,1.582178605495535,Tlalpan 949
1004661084,E003,17.738277512820336,E003,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,453.65,8.070111107929808,Tlalpan Coapa
1004661084,E006,17.738277512820336,E006,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,467.0,8.070111107929808,Tlalpan Coapa
1004690595,F015,1.1013435560925822,F015,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,A,324.74,3.6273473841810353,Roma
1004705990,E049,4.972498164100802,E049,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,371.14,0.5311350095449892,Polanco
1004706243,F064,9.864229118576723,F064,1.5,1.5,2.3,PLANTA BAJA,Bodega Arriba,B,318.0,4.46244265642899,Gustavo Baz
1004727884,G011,1.1013435560925822,G011,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,536.41,3.6273473841810353,Roma
1004749611,E044,8.592852044287927,E044,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,374.0,5.38436940027911,Viaducto
1004818197,E033,14.589692258136123,E033,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,359.14,1.0991617602221933,Iman
1004818409,E053,6.097881624651713,E053,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,334.35,1.9894315438475323,Mexico Tacuba
1004855227,F024,14.068088437617089,F024,2.0,1.6,3.2,PLANTA BAJA,Bodega Arriba,B,318.73,4.498414809923724,Vasco de Quiroga
1004863527,E041,1.3888043384547464,E041,2.5,3.0,7.5,PLANTA BAJA,Bodega Abajo,B,337.22,3.891506836881919,Tepeyac
1004863527,E013,1.3888043384547464,E013,1.0,3.1,3.1,PLANTA BAJA,Bodega Abajo,B,439.43,3.891506836881919,Tepeyac
1004884367,E032,1.1623443621758636,E032,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,346.85,2.723143081905774,Roma
1004972512,F054,180.07033414109029,F054,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,330.02,3.2626879626731227,Queretaro
1004979997,F076,3.88273455345623,F076,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,327.53,2.5046021077854155,Tepeyac
1004983147,F068,3.0532453314093333,F068,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,354.75,2.007165102238417,Tepeyac
1004989020,F069,3.7150688205741904,F069,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,383.4,2.948865512548935,Tepeyac
1005023232,E086,17.117487727356732,E086,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,429.0,12.181363099618354,Tepeyac
1005082313,E035,3.4156901947699883,E035,2.8,1.5,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,0.4027207045134524,Anzures Polanco
1005082313,E002,3.4156901947699883,E002,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,424.0,0.4027207045134524,Anzures Polanco
1005082313,E082,3.4156901947699883,E082,1.4,1.5,2.1,PLANTA BAJA,Bodega Abajo,C,386.0,0.4027207045134524,Anzures Polanco
1005117937,G006,6.947855858401121,G006,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,675.58,1.7017808177280798,Periferico
1005148809,F039,0.9024300644114798,F039,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,323.62,3.1923505747816456,Circuito
1005165430,F019,1.607583348458111,F019,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,286.48,1.89642517648917,Roma
1005172661,F087,5.145214579491149,F087,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,440.01,0.7849179129265123,Tepeyac
1005233118,F038,0.4288493255836407,F038,1.5,3.0,4.5,PLANTA BAJA,Bodega Arriba,B,332.03,2.611031689831798,Anzures Polanco
1005245110,E070,17.018375545579353,E070,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,414.0,9.61625056769381,Churubusco
1005426517,E016,0.9376236242820803,E016,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,A,432.15,3.023592200003784,Circuito
1005426517,F037,0.9376236242820803,F037,1.5,3.0,4.5,PLANTA BAJA,Bodega Arriba,B,332.03,3.023592200003784,Circuito
1005426517,E022,0.9376236242820803,E022,1.5,2.8,4.2,PLANTA BAJA,Down/In,B,458.8,3.023592200003784,Circuito
1005518460,G014,4.069870374319681,G014,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,468.1,0.5691098604083424,Mexico Tacuba
1005522463,G005,7.862779077864499,G005,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,387.43,2.1929335058287647,Lindavista
1005525114,G007,6649.316859892059,G007,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,387.43,6425.20976180371,Acapulco
1005529870,E051,1.1013435560925822,E051,1.3,1.9,2.5,PLANTA BAJA,Bodega Abajo,B,448.13,3.6273473841810353,Roma
1005530398,E036,4.935105775955609,E036,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,422.59,2.6908308653958577,Lindavista
1005565304,E008,2.3672815276692787,E008,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,499.1,1.84278592541518,Roma
1005587742,E071,0.3017899369105764,E071,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,417.1,3.303453065513477,Anzures Polanco
1005607861,G008,2.6177574590075894,G008,0.9,0.6,0.5,PLANTA BAJA,LOCKER ARRIBA,A,344.0,1.812181137393392,Circuito
1005622151,G022,3.4699890194754586,G022,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,470.29,1.020369329583504,Mexico Tacuba
1005631178,E072,6.978036913477386,E072,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,401.77,2.0648140051046524,Tepeyac
1005634546,E075,585.1329794466352,E075,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,426.12,406.15278847145737,Queretaro
1005634886,E040,5.456612893921344,E040,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,B,411.0,1.59459596876849,Periferico
1005665067,E001,7.129385795218164,E001,3.0,3.0,9.0,PLANTA BAJA,Down/In,A,479.99,2.1829737615483595,Tepeyac
1005668155,F077,16.524681086915418,F077,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,347.23,1.8390088207059745,Cuajimalpa
1005690934,G012,0.6567439325998117,G012,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,415.65,2.926064987158995,Roma
1005739131,G013,1.1013435560925822,G013,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,507.0,3.6273473841810353,Roma
1005851773,E090,50.27101897504458,E090,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,360.12,36.64609100355242,Iman
1005871772,F009,11.442962561809018,F009,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,358.05,6.792082340540118,Tepeyac
1005943276,F086,17.117487727356732,F086,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,354.75,12.181363099618354,Tepeyac
1005961760,E063,5.046452985729947,E063,2.0,1.0,2.0,PLANTA BAJA,Bodega Abajo,B,439.68,0.8449967256869083,Viaducto
1005972752,E050,,E050,1.3,1.9,2.5,PLANTA BAJA,Bodega Abajo,B,440.75,,Tepeyac
1005988189,F004,4.0842283685473735,F004,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,377.58,3.419200645848248,Viaducto
1006089176,G016,5.13172434929352,G016,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,478.38,3.7156484170915673,Viaducto
1006147518,F032,2.2346740124229734,F032,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,256.39,1.3029933644461211,Roma
1006185273,G001,39.33666277933085,G001,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,359.14,29.64297224342755,Gustavo Baz
1006192050,E046,3.353219068957877,E046,1.3,1.5,2.0,PLANTA BAJA,Bodega Abajo,B,439.68,0.9124894151562442,Anzures Polanco
1006195228,F049,20.897931650670383,F049,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,349.37,7.797008569880935,Gustavo Baz
1006195716,E028,12.381107234809946,E028,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,439.1,2.325234489281113,Universidad
1006302680,F080,3.908479863296757,F080,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,341.77,2.1380259969996054,Tepeyac
1006307317,F074,16.746814903229495,F074,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,8.233393451605409,Churubusco
1006361018,F030,15.710563237031392,F030,1.5,1.5,2.3,PLANTA BAJA,Bodega Arriba,B,360.26,4.64461171949725,Cuajimalpa
1006372413,G024,212.7220269681129,G024,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,482.82,91.63948974871498,Acapulco
1006375263,G003,1010.396384319766,G003,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,341.18,931.5630321486716,Puebla
1006405433,F082,3.199070680518278,F082,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,324.69,1.6030513686917052,Roma
1006407056,E062,13.565300223701133,E062,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,439.43,6.3535050587208906,Churubusco
1006411027,F052,1.8303721142321008,F052,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,352.63,3.654391903582064,Tepeyac
1006411664,E026,59.96423711540408,E026,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,401.0,45.70994847630924,Iman
1006415270,F010,3.4212432761069724,F010,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,324.69,0.0800616469330383,Circuito
1006422097,E056,1.43238621559713,E056,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,433.0,2.002005531210485,Circuito
1006439531,F011,0.9044578043282002,F011,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,A,299.95,2.936724105521878,Roma
1006458602,F042,7.937492189754236,F042,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,334.99,2.2200450917892205,Churubusco
1006564872,F021,15.420847073743936,F021,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,295.0,2.176010720322861,Iman
1006581484,E054,1.1686198966106904,E054,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,407.0,2.933365194020836,Circuito
1006583403,E012,14.30517319770956,E012,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,310.1,1.3557726644411652,Tlalpan Coapa
1006585589,E030,7.790446761043461,E030,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,2.87257148449215,Tepeyac
1006585589,E094,7.790446761043461,E094,1.1,1.9,2.1,PLANTA BAJA,Down/In,C,337.0,2.87257148449215,Tepeyac
1006596083,E073,2.006300993011396,E073,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,414.0,1.7129550673188414,Anzures Polanco
1006626365,E059,4.81440092117352,E059,2.8,1.5,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,0.4714133579587036,Mexico Tacuba
1006630671,F057,53.83949460666378,F057,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,39.61209398926289,Iman
1006630671,F058,53.83949460666378,F058,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,39.61209398926289,Iman
1006640730,F048,5.898843051924035,F048,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,292.0,3.035913243064836,Tepeyac
1006640730,F047,5.898843051924035,F047,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.035913243064836,Tepeyac
1006671871,E025,11.369181680748005,E025,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,2.163490652935192,Tlalpan Coapa
1006671871,E043,11.369181680748005,E043,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,433.0,2.163490652935192,Tlalpan Coapa
1006674849,E052,8.666596726770218,E052,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,387.0,4.400574719753877,Lindavista
1006675389,F055,12.27136814388632,F055,2.0,2.0,4.0,PLANTA BAJA,Locker Arriba,B,260.0,1.0072541042177647,Tlalpan Coapa
1006702701,F020,32.43646202623456,F020,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,297.0,18.887165866736204,Gustavo Baz
1006713234,E023,12.174903008208704,E023,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,2.179640800282441,Iman
1006748337,G018,1.4040633034473051,G018,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,490.0,3.879802961150836,Tepeyac
1006749560,F031,0.1887255517372719,F031,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,252.0,2.874392255045867,Anzures Polanco
1006767236,F008,2.723846673768864,F008,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,300.0,1.2039461716006246,Anzures Polanco
1006796945,F026,12.29075413716413,F026,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.9856101651228135,Churubusco
1006852849,E039,8.150419433993694,E039,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,383.0,2.10059786826932,Del Valle
1006861313,F051,1.1013435560925822,F051,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.6273473841810353,Roma
1006861546,F045,22.814666851843004,F045,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,312.0,9.021046915746892,Gustavo Baz
1006862130,E080,4.110009823624351,E080,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,410.0,0.8820968433724559,Viaducto
1006862130,E009,4.110009823624351,E009,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,444.0,0.8820968433724559,Viaducto
1006862130,E081,4.110009823624351,E081,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,410.0,0.8820968433724559,Viaducto
1006914676,F053,19.16203557283214,F053,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,5.010957196733432,Paseo Interlomas
1006914846,F014,8.284487985637771,F014,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,A,312.0,4.551646031201248,Viaducto
1006928115,E083,18.41693476001248,E083,1.4,1.5,2.1,PLANTA BAJA,Bodega Abajo,C,414.0,7.806097248187472,Universidad
1006984778,F062,9.638766385239231,F062,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,269.0,1.880499038187784,San Antonio
1007002194,F001,1.6352184648667265,F001,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,315.0,1.9561878381061144,Circuito
1007051221,F006,11.765761968519229,F006,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,315.0,6.817864249431704,Tepeyac
1007089280,F067,13.94659320694519,F067,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,329.0,5.859037678836037,Churubusco
1007110991,E018,10.373373618299466,E018,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,3.170569352367802,Lindavista
1007127837,F065,57.58392594327724,F065,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,329.0,43.33200911942336,Iman
1007146951,E045,11.684257798561903,E045,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,4.596138615290042,Lindavista
1007201656,E010,2.650179180471793,E010,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,444.0,2.040460138344913,Roma
1007214983,F079,1249.064602218072,F079,1.5,1.5,2.3,PLANTA BAJA,LOCKER ARRIBA,B,310.0,1071.6375792135616,Queretaro
1007231049,F046,3.2011463186152604,F046,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,325.0,0.2418772040652345,Anzures Polanco
